FAO Fish Price Index,,,,,,
Base period: 2014-16=100. ,,,,,,
Nominal Indices,,,,,,
Date,FAO Fish Price Index,Tuna,Pelagic (excl. tuna),Salmon,Shrimp,Whitefish
Jan-90,69.1,51.5,48.8,81.6,83.9,56.1
Feb-90,68.1,53.4,43.1,80.1,83.2,56.1
Mar-90,67.4,52,47.2,81.8,77.3,56.1
Apr-90,69.9,50.6,47.5,82.9,76.2,68.7
May-90,68.8,47.1,57.3,83.4,74.8,62.1
Jun-90,71.5,47.2,67.8,81.6,82.3,62.9
Jul-90,68,48.4,59.4,80.5,70.7,64.8
Aug-90,69.8,50.7,50.2,80,80.4,65.7
Sep-90,83.4,51.9,48.4,91.8,121.3,65.5
Oct-90,74.3,50.3,45.1,90.7,84.2,70.7
Nov-90,77.3,49.3,49.5,95.5,91.4,68.2
Dec-90,77.4,49.4,46.5,95.5,92.2,69.1
Jan-91,73.1,48,46.1,92.3,79.5,69.5
Feb-91,73.9,50.4,54.2,88.8,81.3,70
Mar-91,71.5,47.9,55.6,85.8,72.2,74.7
Apr-91,68,47.3,52.4,79.1,71,70.7
May-91,66.8,46.6,48.3,76.9,69.2,72.4
Jun-91,66.9,45.2,55.9,71.8,74.6,70.5
Jul-91,65.7,45.5,54.2,68.6,70.6,74.4
Aug-91,68,44.7,40.5,68.6,86.1,74.5
Sep-91,73.8,46.8,46.7,77.1,87.6,83.9
Oct-91,71.8,50,48.8,73.7,86.3,77
Nov-91,81.5,51,49,84.7,112,77
Dec-91,80.2,50.7,47.6,83.8,112.3,72.9
Jan-92,71.7,51,47.7,81.7,81.1,72.2
Feb-92,70,47.4,47.9,78.2,79,73.8
Mar-92,70.1,48.7,43.9,78,82.1,72
Apr-92,69.2,51.7,56.3,77.2,69.3,75.5
May-92,69.7,50.7,47.7,80.4,76.6,70.1
Jun-92,70,51.1,52.8,75.8,78.9,71.8
Jul-92,77.9,51.3,53.6,82.8,100,74.5
Aug-92,80.9,52,41.7,92,109.1,71.1
Sep-92,82.3,50.2,46.6,101.2,106.5,67.3
Oct-92,80.6,49.8,51.2,92.2,109.3,66.3
Nov-92,73.5,53.9,43.6,85.9,89.2,66
Dec-92,77.1,53.4,41.2,85,106.4,65.1
Jan-93,71.3,51.1,43.6,79.2,89.8,65.7
Feb-93,68.4,53.4,41.3,75.9,87.8,58.4
Mar-93,70.6,52.9,42.9,73.5,95.4,62.5
Apr-93,66.4,50.9,45.8,79.3,71.7,62.9
May-93,70.7,53.4,46.2,83.4,83.4,62.2
